2023-11-06 22:49:07,160: 'c'
2023-11-06 22:49:07,325: 'l'
2023-11-06 22:49:07,461: 'e'
2023-11-06 22:49:07,558: 'a'
2023-11-06 22:49:07,686: 'r'
2023-11-06 22:49:07,807: Key.enter
2023-11-06 22:49:17,054: 'h'
2023-11-06 22:49:17,238: 'e'
2023-11-06 22:49:17,453: 'l'
2023-11-06 22:49:17,589: 'l'
2023-11-06 22:49:17,942: 'o'
2023-11-06 22:51:11,769: Key.shift
2023-11-06 22:51:12,230: '$'
2023-11-06 22:51:12,830: 'f'
2023-11-06 22:51:12,871: 'a'
2023-11-06 22:51:12,926: 's'
2023-11-06 22:51:13,006: 'f'
2023-11-06 22:51:13,191: 's'
2023-11-06 22:51:13,192: 'd'
2023-11-06 22:51:13,294: 'f'
2023-11-06 22:51:13,374: Key.space
2023-11-06 22:51:13,463: 'a'
2023-11-06 22:51:13,464: 's'
2023-11-06 22:51:13,486: 'd'
2023-11-06 22:51:13,575: 'f'
